,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
332,,,,,,,,,,,,
333,An adenovirus-vectored COVID-19 vaccine confers protection from SARS-COV-2 challenge in rhesus macaques,"The rapid spread of coronavirus SARS-CoV-2 greatly threatens global public health but no prophylactic vaccine is available. Here, we report the generation of a replication-incompetent recombinant serotype 5 adenovirus, Ad5-S-nb2, carrying a codon-optimized gene encoding Spike protein (S). In mice and rhesus macaques, intramuscular injection with Ad5-S-nb2 elicits systemic S-specific antibody and cell-mediated immune (CMI) responses. Intranasal inoculation elicits both systemic and pulmonary antibody responses but weaker CMI response. At 30 days after a single vaccination with Ad5-S-nb2 either intramuscularly or intranasally, macaques are protected against SARS-CoV-2 challenge. A subsequent challenge reveals that macaques vaccinated with a 10-fold lower vaccine dosage (1 × 10",-,-,_,-,_,https://www.nature.com/articles/s41467-020-18077-5.pdf?origin=ppub,,['vaccine'],,-
334,,,,,,,,,,,,
335,Evaluation of the immunogenicity of prime-boost vaccination with the replication-deficient viral vectored COVID-19 vaccine candidate ChAdOx1 nCoV-19,"Clinical development of the COVID-19 vaccine candidate ChAdOx1 nCoV-19, a replication-deficient simian adenoviral vector expressing the full-length SARS-CoV-2 spike (S) protein was initiated in April 2020 following non-human primate studies using a single immunisation. Here, we compared the immunogenicity of one or two doses of ChAdOx1 nCoV-19 in both mice and pigs. Whilst a single dose induced antigen-specific antibody and T cells responses, a booster immunisation enhanced antibody responses, particularly in pigs, with a significant increase in SARS-CoV-2 neutralising titres.",-,-,_,-,_,10.1038/s41541-020-00221-3,,,['vaccine'],-
336,A Single Immunization with Nucleoside-Modified mRNA Vaccines Elicits Strong Cellular and Humoral Immune Responses against SARS-CoV-2 in Mice,"SARS-CoV-2 infection has emerged as a serious global pandemic. Because of the high transmissibility of the virus and the high rate of morbidity and mortality associated with COVID-19, developing effective and safe vaccines is a top research priority. Here, we provide a detailed evaluation of the immunogenicity of lipid nanoparticle-encapsulated, nucleoside-modified mRNA (mRNA-LNP) vaccines encoding the full-length SARS-CoV-2 spike protein or the spike receptor binding domain in mice. We demonstrate that a single dose of these vaccines induces strong type 1 CD4",-,-,_,-,_,10.1016/j.immuni.2020.07.019,,,,-
337,Single-shot Ad26 vaccine protects against SARS-CoV-2 in rhesus macaques,"SARS-CoV-2 infection has emerged as a serious global pandemic. Because of the high transmissibility of the virus and the high rate of morbidity and mortality associated with COVID-19, developing effective and safe vaccines is a top research priority. Here, we provide a detailed evaluation of the immunogenicity of lipid nanoparticle-encapsulated, nucleoside-modified mRNA (mRNA-LNP) vaccines encoding the full-length SARS-CoV-2 spike protein or the spike receptor binding domain in mice. We demonstrate that a single dose of these vaccines induces strong type 1 CD4",-,-,_,-,_,10.1038/s41586-020-2607-z,,,['vaccine'],-
338,,,,,,,,,,,,
339,A noncompeting pair of human neutralizing antibodies block COVID-19 virus binding to its receptor ACE2,"Neutralizing antibodies could potentially be used as antivirals against the coronavirus disease 2019 (COVID-19) pandemic. Here, we report isolation of four human-origin monoclonal antibodies from a convalescent patient, all of which display neutralization abilities. The antibodies B38 and H4 block binding between the spike glycoprotein receptor binding domain (RBD) of the virus and the cellular receptor angiotensin-converting enzyme 2 (ACE2). A competition assay indicated different epitopes on the RBD for these two antibodies, making them a potentially promising virus-targeting monoclonal antibody pair for avoiding immune escape in future clinical applications. Moreover, a therapeutic study in a mouse model validated that these antibodies can reduce virus titers in infected lungs. The RBD-B38 complex structure revealed that most residues on the epitope overlap with the RBD-ACE2 binding interface, explaining the blocking effect and neutralizing capacity. Our results highlight the promise of antibody-based therapeutics and provide a structural basis for rational vaccine design.",-,-,_,-,_,http://science.sciencemag.org/content/early/2020/05/12/science.abc2241.abstract,['vaccine'],,,-
340,,,,,,,,,,,,
341,Salvage use of tissue plasminogen activator (tPA) in the setting of acute respiratory distress syndrome (ARDS) due to COVID-19 in the USA: a Markov decision analysis,"Salvage use of tPA may improve recovery of ARDS patients, thereby reducing COVID-19-related mortality and ensuring sufficient resources to manage this pandemic.",-,-,_,-,_,https://wjes.biomedcentral.com/articles/10.1186/s13017-020-00305-4,,,,-
342,"Active constituents and mechanisms of Respiratory Detox Shot, a traditional Chinese medicine prescription, for COVID-19 control and prevention: Network-molecular docking-LC-MSE analysis","RDS acts primarily in the Lung-Large Intestine, Kidney-Urinary Bladder and Stomach-Spleen meridians, with other Zang-fu viscera strategically covered by all nine ingredients. In the context of TCM meridian theory, the multiple components and targets of RDS contribute to RDS's dual effects of health-strengthening and pathogen-eliminating. This results in general therapeutic effects for early COVID-19 control and prevention.",-,-,_,-,_,PUBMED_ID:32307268/,,,,-
343,In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,Chinese herbal treatments classically used for treating viral respiratory infection might contain direct anti-2019-nCoV compounds.,-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S2095496420300157,,,,-
344,Fast Identification of Possible Drug Treatment of Coronavirus Disease -19 (COVID-19) Through Computational Drug Repurposing Study,"The recent outbreak of novel coronavirus disease -19 (COVID-19) calls for and welcomes possible treatment strategies using drugs on the market. It is very efficient to apply computer-aided drug design techniques to quickly identify promising drug repurposing candidates, especially after the detailed 3D-structures of key virous proteins are resolved. Taking the advantage of a recently released crystal structure of COVID-19 protease in complex with a covalently-bonded inhibitor, N3,<sup>1</sup> I conducted virtual docking screening of approved drugs and drug candidates in clinical trials. For the top docking hits, I then performed molecular dynamics simulations followed by binding free energy calculations using an endpoint method called MM-PBSA-WSAS.<sup>2-4</sup> Several promising known drugs stand out as potential inhibitors of COVID-19 protease, including Carfilzomib, Eravacycline, Valrubicin, Lopinavir and Elbasvir. Carfilzomib, an approved anti-cancer drug acting as a proteasome inhibitor, has the best MM-PBSA-WSAS binding free energy, -13.82 kcal/mol. Streptomycin, an antibiotic and a charged molecule, also demonstrates some inhibitory effect, even though the predicted binding free energy of the charged form (-3.82 kcal/mol) is not nearly as low as that of the neutral form (-7.92 kcal/mol). One bioactive, PubChem 23727975, has a binding free energy of -12.86 kcal/mol. Detailed receptor-ligand interactions were analyzed and hot spots for the receptor-ligand binding were identified. I found that one hotspot residue HIS41, is a conserved residue across many viruses including COVID-19, SARS, MERS, and HCV. The findings of this study can facilitate rational drug design targeting the COVID-19 protease.",-,-,_,-,_,10.1021/acs.jcim.0c00179,['carfilzomib'],,"['valrubicin', 'lopinavir', 'elbasvir', 'streptomycin']",-
345,Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody,"The newly identified 2019 novel coronavirus (2019-nCoV) has caused more than 11,900 laboratory-confirmed human infections, including 259 deaths, posing a serious threat to human health. Currently, however, there is no specific antiviral treatment or vaccine. Considering the relatively high identity of receptor-binding domain (RBD) in 2019-nCoV and SARS-CoV, it is urgent to assess the cross-reactivity of anti-SARS CoV antibodies with 2019-nCoV spike protein, which could have important implications for rapid development of vaccines and therapeutic antibodies against 2019-nCoV. Here, we report for the first time that a SARS-CoV-specific human monoclonal antibody, CR3022, could bind potently with 2019-nCoV RBD (KD of 6.3 nM). The epitope of CR3022 does not overlap with the ACE2 binding site within 2019-nCoV RBD. These results suggest that CR3022 may have the potential to be developed as candidate therapeutics, alone or in combination with other neutralizing antibodies, for the prevention and treatment of 2019-nCoV infections. Interestingly, some of the most potent SARS-CoV-specific neutralizing antibodies (e.g. m396, CR3014) that target the ACE2 binding site of SARS-CoV failed to bind 2019-nCoV spike protein, implying that the difference in the RBD of SARS-CoV and 2019-nCoV has a critical impact for the cross-reactivity of neutralizing antibodies, and that it is still necessary to develop novel monoclonal antibodies that could bind specifically to 2019-nCoV RBD.",-,-,_,-,_,10.1080/22221751.2020.1729069,,['vaccine'],,-
346,Lianhuaqingwen exerts anti-viral and anti-inflammatory activity against novel coronavirus (SARS-CoV-2),"The newly identified 2019 novel coronavirus (2019-nCoV) has caused more than 11,900 laboratory-confirmed human infections, including 259 deaths, posing a serious threat to human health. Currently, however, there is no specific antiviral treatment or vaccine. Considering the relatively high identity of receptor-binding domain (RBD) in 2019-nCoV and SARS-CoV, it is urgent to assess the cross-reactivity of anti-SARS CoV antibodies with 2019-nCoV spike protein, which could have important implications for rapid development of vaccines and therapeutic antibodies against 2019-nCoV. Here, we report for the first time that a SARS-CoV-specific human monoclonal antibody, CR3022, could bind potently with 2019-nCoV RBD (KD of 6.3 nM). The epitope of CR3022 does not overlap with the ACE2 binding site within 2019-nCoV RBD. These results suggest that CR3022 may have the potential to be developed as candidate therapeutics, alone or in combination with other neutralizing antibodies, for the prevention and treatment of 2019-nCoV infections. Interestingly, some of the most potent SARS-CoV-specific neutralizing antibodies (e.g. m396, CR3014) that target the ACE2 binding site of SARS-CoV failed to bind 2019-nCoV spike protein, implying that the difference in the RBD of SARS-CoV and 2019-nCoV has a critical impact for the cross-reactivity of neutralizing antibodies, and that it is still necessary to develop novel monoclonal antibodies that could bind specifically to 2019-nCoV RBD.",-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S104366182030743X,,['vaccine'],,-
347,Peptide-like and small-molecule inhibitors against Covid-19,"Coronavirus disease strain (SARS-CoV-2) was discovered in 2019, and it is spreading very fast around the world causing the disease Covid-19. Currently, more than 1.6 million individuals are infected, and several thousand are dead across the globe because of Covid-19. Here, we utilized the ",-,-,_,-,_,10.1080/07391102.2020.1757510,,,,-
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,Inactivation of severe acute respiratory syndrome coronavirus 2 in plasma and platelet products using a riboflavin and ultraviolet light-based photochemical treatment,Riboflavin and UV light effectively reduced the titre of SARS-CoV-2 in both plasma and platelet products to below the limit of detection in tissue culture. The data suggest that the process would be effective in reducing the theoretical risk of transfusion transmitted SARS-CoV-2.,-,-,_,-,_,10.1111/vox.12937,,,['riboflavin'],-
351,A search for medications to treat COVID-19 via in silico molecular docking models of the SARS-CoV-2 spike glycoprotein and 3CL protease,"Zanamivir, Indinavir, Saquinavir, and Remdesivir are among the exciting hits on the 3CL",-,-,_,-,_,10.1016/j.tmaid.2020.101646,"['zanamivir', 'indinavir', 'saquinavir', 'remdesivir']",,,-
352,,,,,,,,,,,,
353,Remdesivir and SARS-CoV-2: Structural requirements at both nsp12 RdRp and nsp14 Exonuclease active-sites,"The rapid global emergence of SARS-CoV-2 has been the cause of significant health concern, highlighting the immediate need for antivirals. Viral RNA-dependent RNA polymerases (RdRp) play essential roles in viral RNA synthesis, and thus remains the target of choice for the prophylactic or curative treatment of several viral diseases, due to high sequence and structural conservation. To date, the most promising broad-spectrum class of viral RdRp inhibitors are nucleoside analogues (NAs), with over 25 approved for the treatment of several medically important viral diseases. However, Coronaviruses stand out as a particularly challenging case for NA drug design due to the presence of an exonuclease (ExoN) domain capable of excising incorporated NAs and thus providing resistance to many of these available antivirals. Here we use the available structures of the SARS-CoV RdRp and ExoN proteins, as well as Lassa virus N exonuclease to derive models of catalytically competent SARS-CoV-2 enzymes. We then map a promising NA candidate, GS-441524 (the active metabolite of Remdesivir) to the nucleoside active site of both proteins, identifying the residues important for nucleotide recognition, discrimination, and excision. Interestingly, GS-441524 addresses both enzyme active sites in a manner consistent with significant incorporation, delayed chain termination, and altered excision due to the ribose 1'-CN group, which may account for the increased antiviral effect compared to other available analogues. Additionally, we propose structural and function implications of two previously identified RdRp resistance mutations in relation to resistance against Remdesivir. This study highlights the importance of considering the balance between incorporation and excision properties of NAs between the RdRp and ExoN.",-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S0166354220302072,,,['remdesivir'],-
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,Why are lopinavir and ritonavir effective against the newly emerged Coronavirus 2019?: Atomistic insights into the inhibitory mechanisms,"Since the emergence of a novel coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first reported from Wuhan, China, neither a specific vaccine nor an antiviral drug against SARS-CoV-2 has become available. However, a combination of two HIV-1 protease inhibitors, lopinavir and ritonavir, has been found to be effective against SARS-CoV, and both drugs could bind well to the SARS-CoV 3C-like protease (SARS-CoV 3CL",-,-,_,-,_,PUBMED_ID:32293875/,"['lopinavir', 'ritonavir']",,['vaccine'],-
357,Repurposing Didanosine as a Potential Treatment for COVID-19 Using Single-Cell RNA Sequencing Data,"As of today (7 April 2020), more than 81,000 people around the world have died from the coronavirus disease 19 (COVID-19) pandemic. There is no approved drug or vaccine for COVID-19, although more than 10 clinical trials have been launched to test potential drugs. In an urgent response to this pandemic, I developed a bioinformatics pipeline to identify compounds and drug candidates to potentially treat COVID-19. This pipeline is based on publicly available single-cell RNA sequencing (scRNA-seq) data and the drug perturbation database ""Library of Integrated Network-Based Cellular Signatures"" (LINCS). I developed a ranking score system that prioritizes these drugs or small molecules. The four drugs with the highest total score are didanosine, benzyl-quinazolin-4-yl-amine, camptothecin, and RO-90-7501. In conclusion, I have demonstrated the utility of bioinformatics for identifying drugs than can be repurposed for potentially treating COVID-19 patients.",-,-,_,-,_,https://msystems.asm.org/content/5/2/e00297-20,,"['didanosine', 'today']",['vaccine'],-
358,Identification of Chymotrypsin-like Protease Inhibitors of SARS-CoV-2 Via Integrated Computational Approach,"Recently, the world has witnessed outbreak of a novel Coronavirus (SARS-CoV-2), the virus which initially emerged in Wuhan, China has now made its way to a large part of the world, resulting in a public emergency of international concern. The functional importance of Chymotrypsin-like protease (3CL",-,-,_,-,_,10.1080/07391102.2020.1751298,,,,-
359,Remdesivir is a direct-acting antiviral that inhibits RNA-dependent RNA polymerase from severe acute respiratory syndrome coronavirus 2 with high potency,"Effective treatments for coronavirus disease 2019 (COVID-19) are urgently needed to control this current pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Replication of SARS-CoV-2 depends on the viral RNA-dependent RNA polymerase (RdRp), which is the likely target of the investigational nucleotide analogue remdesivir (RDV). RDV shows broad-spectrum antiviral activity against RNA viruses, and previous studies with RdRps from Ebola virus and Middle East respiratory syndrome coronavirus (MERS-CoV) have revealed that delayed chain termination is RDV's plausible mechanism of action. Here, we expressed and purified active SARS-CoV-2 RdRp composed of the nonstructural proteins nsp8 and nsp12. Enzyme kinetics indicated that this RdRp efficiently incorporates the active triphosphate form of RDV (RDV-TP) into RNA. Incorporation of RDV-TP at position ",-,-,_,-,_,10.1074/jbc.RA120.013679,,['remdesivir'],,-
360,Predicting commercially available antiviral drugs that may act on the novel coronavirus (SARS-CoV-2) through a drug-target interaction deep learning model,"The infection of a novel coronavirus found in Wuhan of China (SARS-CoV-2) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for SARS-CoV-2, various strategies are being tested in China, including drug repurposing. In this study, we used our pre-trained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of SARS-CoV-2. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing an inhibitory potency with ",-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S2001037020300490,['atazanavir'],,,-
361,,,,,,,,,,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,,,,,,,,,,
365,An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 in human airway epithelial cell cultures and multiple coronaviruses in mice,"Coronaviruses (CoVs) traffic frequently between species resulting in novel disease outbreaks, most recently exemplified by the newly emerged SARS-CoV-2, the causative agent of COVID-19. Here, we show that the ribonucleoside analog β-d-N",-,-,_,-,_,https://stm.sciencemag.org/content/12/541/eabb5883,,,,-
366,,,,,,,,,,,,
367,"Remdesivir, lopinavir, emetine, and homoharringtonine inhibit SARS-CoV-2 replication in vitro","An escalating pandemic by the novel SARS-CoV-2 virus is impacting global health and effective therapeutic options are urgently needed. We evaluated the in vitro antiviral effect of compounds that were previously reported to inhibit coronavirus replication and compounds that are currently under evaluation in clinical trials for SARS-CoV-2 patients. We report the antiviral effect of remdesivir, lopinavir, homorringtonine, and emetine against SARS-CoV-2 virus in Vero E6 cells with the estimated 50% effective concentration at 23.15 μM, 26.63 μM, 2.55 μM and 0.46 μM, respectively. Ribavirin or favipiravir that are currently evaluated under clinical trials showed no inhibition at 100 μM. Synergy between remdesivir and emetine was observed, and remdesivir at 6.25 μM in combination with emetine at 0.195 μM may achieve 64.9% inhibition in viral yield. Combinational therapy may help to reduce the effective concentration of compounds below the therapeutic plasma concentrations and provide better clinical benefits.",-,-,_,-,_,10.1016/j.antiviral.2020.104786,"['remdesivir', 'lopinavir', 'emetine', 'ribavirin']",,,-
368,Microneedle array delivered recombinant coronavirus vaccines: Immunogenicity and rapid translational development,"MNA delivery of coronaviruses-S1 subunit vaccines is a promising immunization strategy against coronavirus infection. Progressive scientific and technological efforts enable quicker responses to emerging pandemics. Our ongoing efforts to develop MNA-MERS-S1 subunit vaccines enabled us to rapidly design and produce MNA SARS-CoV-2 subunit vaccines capable of inducing potent virus-specific antibody responses. Collectively, our results support the clinical development of MNA delivered recombinant protein subunit vaccines against SARS, MERS, COVID-19, and other emerging infectious diseases.",-,-,_,-,_,10.1016/j.ebiom.2020.1027433,,,,-
369,A vaccine for SARS-CoV-2: goals and promises,"MNA delivery of coronaviruses-S1 subunit vaccines is a promising immunization strategy against coronavirus infection. Progressive scientific and technological efforts enable quicker responses to emerging pandemics. Our ongoing efforts to develop MNA-MERS-S1 subunit vaccines enabled us to rapidly design and produce MNA SARS-CoV-2 subunit vaccines capable of inducing potent virus-specific antibody responses. Collectively, our results support the clinical development of MNA delivered recombinant protein subunit vaccines against SARS, MERS, COVID-19, and other emerging infectious diseases.",-,-,_,-,_,10.1016/j.eclinm.2020.100494,['vaccine'],,,-
370,,,,,,,,,,,,
371,,,,,,,,,,,,
372,Coalition: Advocacy for prospective clinical trials to test the post-exposure potential of hydroxychloroquine against COVID-19,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1016/j.onehlt.2020.100131,"['hydroxychloroquine', 'vaccine']",,,-
373,Standing out from the crowd in treating COVID-19,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1016/j.medidd.2020.100034,"['hydroxychloroquine', 'vaccine']",,,-
374,G6PD and chloroquine: selecting the treatment against SARS-CoV-2?,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1111/jcmm.15312,"['hydroxychloroquine', 'vaccine']",,,-
375,COVID-19: Important Therapy Considerations and Approaches in this Hour of Need,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1002/phar.2396,"['hydroxychloroquine', 'vaccine']",,,-
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,,,,,,,,,,,,
383,,,,,,,,,,,,
384,,,,,,,,,,,,
385,,,,,,,,,,,,
386,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,,,,,,,,
389,,,,,,,,,,,,
390,,,,,,,,,,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,,,,,,,,,,,,
394,,,,,,,,,,,,
395,,,,,,,,,,,,
396,,,,,,,,,,,,
397,,,,,,,,,,,,
398,,,,,,,,,,,,
399,,,,,,,,,,,,
400,,,,,,,,,,,,
401,,,,,,,,,,,,
402,,,,,,,,,,,,
403,,,,,,,,,,,,
404,,,,,,,,,,,,
405,,,,,,,,,,,,
406,,,,,,,,,,,,
407,,,,,,,,,,,,
408,,,,,,,,,,,,
409,,,,,,,,,,,,
410,,,,,,,,,,,,
411,Emergence of institutional antithrombotic protocols for coronavirus 2019,"En infección por SARS-CoV-2 (COVID-19), las manifestaciones más comunes son las de vías aéreas superiores; en casos complicados se presenta neumonía intersticial bilateral, insuficiencia respiratoria aguda grave y falla orgánica múltiple que ameritan tratamiento hospitalario y soporte ventilatorio por puntas nasales o mascarilla, así como oxígeno con flujo a presión alta o intubación orotraqueal y ventilación mecánica. No hay antivirales específicos por lo que el manejo es sintomático, así como con antiplaquetarios (ácido acetilsalicílico, dipiridamol), heparina de bajo peso molecular ante hipercoagulabilidad (dímero D aumentado), dexametasona ante indicadores altos de inflamación. Previo consentimiento informado, experimentalmente se emplean antibióticos según los resultados microbiológicos, interferón beta 1b, favipiravir, tocilizumab, ivermectina e inmunoglobulina G. Cuando se presenta gastroenteritis se puede indicar nitazoxanida.",-,-,_,-,_,10.1002/rth2.12358,,,['tocilizumab'],-
412,,,,,,,,,,,,
413,,,,,,,,,,,,
414,,,,,,,,,,,,
415,,,,,,,,,,,,
416,,,,,,,,,,,,
417,,,,,,,,,,,,
418,,,,,,,,,,,,
419,,,,,,,,,,,,
420,,,,,,,,,,,,
421,,,,,,,,,,,,
422,,,,,,,,,,,,
423,,,,,,,,,,,,
424,,,,,,,,,,,,
425,,,,,,,,,,,,
426,,,,,,,,,,,,
427,,,,,,,,,,,,
428,,,,,,,,,,,,
429,,,,,,,,,,,,
430,,,,,,,,,,,,
431,,,,,,,,,,,,
432,,,,,,,,,,,,
433,,,,,,,,,,,,
434,,,,,,,,,,,,
435,,,,,,,,,,,,
436,,,,,,,,,,,,
437,,,,,,,,,,,,
438,,,,,,,,,,,,
439,,,,,,,,,,,,
440,,,,,,,,,,,,
441,,,,,,,,,,,,
442,,,,,,,,,,,,
443,,,,,,,,,,,,
444,,,,,,,,,,,,
445,,,,,,,,,,,,
446,,,,,,,,,,,,
447,,,,,,,,,,,,
448,,,,,,,,,,,,
449,,,,,,,,,,,,
450,,,,,,,,,,,,
451,,,,,,,,,,,,
452,,,,,,,,,,,,
453,,,,,,,,,,,,
454,,,,,,,,,,,,
455,,,,,,,,,,,,
456,,,,,,,,,,,,
457,,,,,,,,,,,,
458,"Guidelines for the pharmacological treatment of COVID-19. The task force/consensus guideline of the Brazilian Association of Intensive Care Medicine, the Brazilian Society of Infectious Diseases and the Brazilian Society of Pulmonology and Tisiology",So far no pharmacological intervention was proven effective and safe to warrant its use in the routine treatment of COVID-19 patients; therefore such patients should ideally be treated in the context of clinical trials. The recommendations herein provided will be revised continuously aiming to capture newly generated evidence.,-,-,_,-,_,10.5935/0103-507X.20200039,,,,-
459,,,,,,,,,,,,
460,Risk of metformin in type 2 diabetes patients with COVID-19: a preliminary retrospective report,"The current outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection has spread across the world. No specific antiviral agents have been adequately evidenced for the treatment of coronavirus disease 2019 (COVID-19). Although metformin has been recommended as a host-directed therapy for COVID-19, there are some opposite views. The effects of metformin on the disease severity of patients with COVID-19 with diabetes during hospitalization remains unclear. This study aimed to determine the effect of metformin on disease severity. We enrolled 110 hospitalized patients with COVID-19 with diabetes prescribed either metformin or non-metformin hypoglycemic treatment for a case-control study. The primary outcome was the occurrence of life-threatening complications. There were no differences between the two groups in age, sex, comorbidities, and clinical severity at admission. Blood glucose and lactate dehydrogenase levels of the metformin group were higher than those of the non-metformin group at admission. Other laboratory parameters at admission and treatments after admission were not different between the two groups. Strikingly, the percentage of patients who experienced life-threatening complications was significantly higher in the metformin group (28.6% (16/56) vs. 7.4% (4/54), P = 0.004). Antidiabetic therapy with metformin was associated with a higher risk of disease progression in patients with COVID-19 with diabetes during hospitalization (adjusted odds ratio = 3.964, 95% confidence interval 1.034-15.194, P = 0.045). This retrospective analysis suggested a potential safety signal for metformin, the use of which was associated with a higher risk of severe COVID-19. We propose that metformin withdrawal in patients with COVID-19 be considered to prevent disease progression.",-,-,_,-,_,10.1111/cts.12897,,['metformin'],,-
461,,,,,,,,,,,,
