,titulo,resumo,resumo_traduzido,revista,data,qualis,H-index,doi,pro,contra,indefinido,resultados
350,Inactivation of severe acute respiratory syndrome coronavirus 2 in plasma and platelet products using a riboflavin and ultraviolet light-based photochemical treatment,Riboflavin and UV light effectively reduced the titre of SARS-CoV-2 in both plasma and platelet products to below the limit of detection in tissue culture. The data suggest that the process would be effective in reducing the theoretical risk of transfusion transmitted SARS-CoV-2.,-,-,_,-,_,10.1111/vox.12937,,,['riboflavin'],-
351,A search for medications to treat COVID-19 via in silico molecular docking models of the SARS-CoV-2 spike glycoprotein and 3CL protease,"Zanamivir, Indinavir, Saquinavir, and Remdesivir are among the exciting hits on the 3CL",-,-,_,-,_,10.1016/j.tmaid.2020.101646,"['zanamivir', 'indinavir', 'saquinavir', 'remdesivir']",,,-
353,Remdesivir and SARS-CoV-2: Structural requirements at both nsp12 RdRp and nsp14 Exonuclease active-sites,"The rapid global emergence of SARS-CoV-2 has been the cause of significant health concern, highlighting the immediate need for antivirals. Viral RNA-dependent RNA polymerases (RdRp) play essential roles in viral RNA synthesis, and thus remains the target of choice for the prophylactic or curative treatment of several viral diseases, due to high sequence and structural conservation. To date, the most promising broad-spectrum class of viral RdRp inhibitors are nucleoside analogues (NAs), with over 25 approved for the treatment of several medically important viral diseases. However, Coronaviruses stand out as a particularly challenging case for NA drug design due to the presence of an exonuclease (ExoN) domain capable of excising incorporated NAs and thus providing resistance to many of these available antivirals. Here we use the available structures of the SARS-CoV RdRp and ExoN proteins, as well as Lassa virus N exonuclease to derive models of catalytically competent SARS-CoV-2 enzymes. We then map a promising NA candidate, GS-441524 (the active metabolite of Remdesivir) to the nucleoside active site of both proteins, identifying the residues important for nucleotide recognition, discrimination, and excision. Interestingly, GS-441524 addresses both enzyme active sites in a manner consistent with significant incorporation, delayed chain termination, and altered excision due to the ribose 1'-CN group, which may account for the increased antiviral effect compared to other available analogues. Additionally, we propose structural and function implications of two previously identified RdRp resistance mutations in relation to resistance against Remdesivir. This study highlights the importance of considering the balance between incorporation and excision properties of NAs between the RdRp and ExoN.",-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S0166354220302072,,,['remdesivir'],-
356,Why are lopinavir and ritonavir effective against the newly emerged Coronavirus 2019?: Atomistic insights into the inhibitory mechanisms,"Since the emergence of a novel coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first reported from Wuhan, China, neither a specific vaccine nor an antiviral drug against SARS-CoV-2 has become available. However, a combination of two HIV-1 protease inhibitors, lopinavir and ritonavir, has been found to be effective against SARS-CoV, and both drugs could bind well to the SARS-CoV 3C-like protease (SARS-CoV 3CL",-,-,_,-,_,PUBMED_ID:32293875/,"['lopinavir', 'ritonavir']",,['vaccine'],-
357,Repurposing Didanosine as a Potential Treatment for COVID-19 Using Single-Cell RNA Sequencing Data,"As of today (7 April 2020), more than 81,000 people around the world have died from the coronavirus disease 19 (COVID-19) pandemic. There is no approved drug or vaccine for COVID-19, although more than 10 clinical trials have been launched to test potential drugs. In an urgent response to this pandemic, I developed a bioinformatics pipeline to identify compounds and drug candidates to potentially treat COVID-19. This pipeline is based on publicly available single-cell RNA sequencing (scRNA-seq) data and the drug perturbation database ""Library of Integrated Network-Based Cellular Signatures"" (LINCS). I developed a ranking score system that prioritizes these drugs or small molecules. The four drugs with the highest total score are didanosine, benzyl-quinazolin-4-yl-amine, camptothecin, and RO-90-7501. In conclusion, I have demonstrated the utility of bioinformatics for identifying drugs than can be repurposed for potentially treating COVID-19 patients.",-,-,_,-,_,https://msystems.asm.org/content/5/2/e00297-20,,"['didanosine', 'today']",['vaccine'],-
359,Remdesivir is a direct-acting antiviral that inhibits RNA-dependent RNA polymerase from severe acute respiratory syndrome coronavirus 2 with high potency,"Effective treatments for coronavirus disease 2019 (COVID-19) are urgently needed to control this current pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Replication of SARS-CoV-2 depends on the viral RNA-dependent RNA polymerase (RdRp), which is the likely target of the investigational nucleotide analogue remdesivir (RDV). RDV shows broad-spectrum antiviral activity against RNA viruses, and previous studies with RdRps from Ebola virus and Middle East respiratory syndrome coronavirus (MERS-CoV) have revealed that delayed chain termination is RDV's plausible mechanism of action. Here, we expressed and purified active SARS-CoV-2 RdRp composed of the nonstructural proteins nsp8 and nsp12. Enzyme kinetics indicated that this RdRp efficiently incorporates the active triphosphate form of RDV (RDV-TP) into RNA. Incorporation of RDV-TP at position ",-,-,_,-,_,10.1074/jbc.RA120.013679,,['remdesivir'],,-
360,Predicting commercially available antiviral drugs that may act on the novel coronavirus (SARS-CoV-2) through a drug-target interaction deep learning model,"The infection of a novel coronavirus found in Wuhan of China (SARS-CoV-2) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for SARS-CoV-2, various strategies are being tested in China, including drug repurposing. In this study, we used our pre-trained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of SARS-CoV-2. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing an inhibitory potency with ",-,-,_,-,_,https://www.sciencedirect.com/science/article/pii/S2001037020300490,['atazanavir'],,,-
367,"Remdesivir, lopinavir, emetine, and homoharringtonine inhibit SARS-CoV-2 replication in vitro","An escalating pandemic by the novel SARS-CoV-2 virus is impacting global health and effective therapeutic options are urgently needed. We evaluated the in vitro antiviral effect of compounds that were previously reported to inhibit coronavirus replication and compounds that are currently under evaluation in clinical trials for SARS-CoV-2 patients. We report the antiviral effect of remdesivir, lopinavir, homorringtonine, and emetine against SARS-CoV-2 virus in Vero E6 cells with the estimated 50% effective concentration at 23.15 μM, 26.63 μM, 2.55 μM and 0.46 μM, respectively. Ribavirin or favipiravir that are currently evaluated under clinical trials showed no inhibition at 100 μM. Synergy between remdesivir and emetine was observed, and remdesivir at 6.25 μM in combination with emetine at 0.195 μM may achieve 64.9% inhibition in viral yield. Combinational therapy may help to reduce the effective concentration of compounds below the therapeutic plasma concentrations and provide better clinical benefits.",-,-,_,-,_,10.1016/j.antiviral.2020.104786,"['remdesivir', 'lopinavir', 'emetine', 'ribavirin']",,,-
369,A vaccine for SARS-CoV-2: goals and promises,"MNA delivery of coronaviruses-S1 subunit vaccines is a promising immunization strategy against coronavirus infection. Progressive scientific and technological efforts enable quicker responses to emerging pandemics. Our ongoing efforts to develop MNA-MERS-S1 subunit vaccines enabled us to rapidly design and produce MNA SARS-CoV-2 subunit vaccines capable of inducing potent virus-specific antibody responses. Collectively, our results support the clinical development of MNA delivered recombinant protein subunit vaccines against SARS, MERS, COVID-19, and other emerging infectious diseases.",-,-,_,-,_,10.1016/j.eclinm.2020.100494,['vaccine'],,,-
372,Coalition: Advocacy for prospective clinical trials to test the post-exposure potential of hydroxychloroquine against COVID-19,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1016/j.onehlt.2020.100131,"['hydroxychloroquine', 'vaccine']",,,-
373,Standing out from the crowd in treating COVID-19,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1016/j.medidd.2020.100034,"['hydroxychloroquine', 'vaccine']",,,-
374,G6PD and chloroquine: selecting the treatment against SARS-CoV-2?,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1111/jcmm.15312,"['hydroxychloroquine', 'vaccine']",,,-
375,COVID-19: Important Therapy Considerations and Approaches in this Hour of Need,"Our coalition of public health experts, doctors, and scientists worldwide want to draw attention to the need for high-quality evaluation protocols of the potential beneficial effect of hydroxychloroquine (HCQ) as a post-exposure drug for exposed people. In the absence of an approved, recognized effective pre or post-exposure prophylactic drug or vaccine for COVID-19, nor of any approved and validated therapeutic drug, coupled with social and political pressure raised by publicity both regarding the potential beneficial effect of hydroxychloroquine (HCQ) as well as potential risks from HCQ, we urge the immediate proper clinical trials. Specifically, we mean using HCQ for post-exposure of people with close contact with patients with positive COVID19 rtPCR, including home and medical caregivers. We have reviewed the mechanisms of antiviral effect of HCQ, the risk-benefit ratio taking into consideration the PK/PD of HCQ and the thresholds of efficacy. We have studied its use as an antimalarial, an antiviral, and an immunomodulating drug and concluded that the use of HCQ at doses matching that of the standard treatment of Systemic Lupus erythematous, which has proven safety and efficacy in terms of HCQ blood and tissue concentration adapted to bodyweight (2,3), at 6 mg/kg/day 1 (loading dose) followed by 5 mg/kg/ day, with a maximum limit of 600 mg/day in all cases should swiftly be clinically evaluated as a post-exposure drug for exposed people.",-,-,_,-,_,10.1002/phar.2396,"['hydroxychloroquine', 'vaccine']",,,-
411,Emergence of institutional antithrombotic protocols for coronavirus 2019,"En infección por SARS-CoV-2 (COVID-19), las manifestaciones más comunes son las de vías aéreas superiores; en casos complicados se presenta neumonía intersticial bilateral, insuficiencia respiratoria aguda grave y falla orgánica múltiple que ameritan tratamiento hospitalario y soporte ventilatorio por puntas nasales o mascarilla, así como oxígeno con flujo a presión alta o intubación orotraqueal y ventilación mecánica. No hay antivirales específicos por lo que el manejo es sintomático, así como con antiplaquetarios (ácido acetilsalicílico, dipiridamol), heparina de bajo peso molecular ante hipercoagulabilidad (dímero D aumentado), dexametasona ante indicadores altos de inflamación. Previo consentimiento informado, experimentalmente se emplean antibióticos según los resultados microbiológicos, interferón beta 1b, favipiravir, tocilizumab, ivermectina e inmunoglobulina G. Cuando se presenta gastroenteritis se puede indicar nitazoxanida.",-,-,_,-,_,10.1002/rth2.12358,,,['tocilizumab'],-
460,Risk of metformin in type 2 diabetes patients with COVID-19: a preliminary retrospective report,"The current outbreak of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection has spread across the world. No specific antiviral agents have been adequately evidenced for the treatment of coronavirus disease 2019 (COVID-19). Although metformin has been recommended as a host-directed therapy for COVID-19, there are some opposite views. The effects of metformin on the disease severity of patients with COVID-19 with diabetes during hospitalization remains unclear. This study aimed to determine the effect of metformin on disease severity. We enrolled 110 hospitalized patients with COVID-19 with diabetes prescribed either metformin or non-metformin hypoglycemic treatment for a case-control study. The primary outcome was the occurrence of life-threatening complications. There were no differences between the two groups in age, sex, comorbidities, and clinical severity at admission. Blood glucose and lactate dehydrogenase levels of the metformin group were higher than those of the non-metformin group at admission. Other laboratory parameters at admission and treatments after admission were not different between the two groups. Strikingly, the percentage of patients who experienced life-threatening complications was significantly higher in the metformin group (28.6% (16/56) vs. 7.4% (4/54), P = 0.004). Antidiabetic therapy with metformin was associated with a higher risk of disease progression in patients with COVID-19 with diabetes during hospitalization (adjusted odds ratio = 3.964, 95% confidence interval 1.034-15.194, P = 0.045). This retrospective analysis suggested a potential safety signal for metformin, the use of which was associated with a higher risk of severe COVID-19. We propose that metformin withdrawal in patients with COVID-19 be considered to prevent disease progression.",-,-,_,-,_,10.1111/cts.12897,,['metformin'],,-
463,Experience of the use of hydroxychloroquine on patients with COVID-19: A perspective on viral load and cytokine kinetics,"Until now, there are no approved treatment against COVID-19. Hydroxychloroquine (HCQ) was hypothesized to be active against SARS-CoV2 via antiviral and anti-inflammatory effect; however, HCQ for COVID-19 in clinical use remained debating. In this preliminary report, we presented six patients with mild to moderate COVID-19. They were treated with HCQ for 14 days from the day of COVID-19 diagnosis. Serial viral load from respiratory specimens were performed every other day. Cytokine profile was checked before HCQ initiation and on the 14th day of HCQ treatment. All patients receiving HCQ completed 14-day course without complication. Among the six patients, the mean duration from symptom onset to last detectable viral load was 34 ± 12 days, which was similar to those without specific treatment in previous reports. Low level of interferon-gamma was noted in all patients of different stage of infection and three patients had elevation of IL-17 level. Prolonged virus shedding is still observed regardless HCQ. The impact of HCQ on cytokine kinetics remained unclear; however, IL-17 could be an inflammatory marker for disease status monitor and a potential therapeutic target.",-,-,_,-,_,10.1016/j.jfma.2020.08.022,,,['hydroxychloroquine'],-
467,Preliminary Experience With Low Molecular Weight Heparin Strategy in COVID-19 Patients,Intermediate LMWH dosage seems to be associated with lower incidence of mortality compared to standard DVT prophylaxys in hospitalized COVID-19 patients. Our study paves the way to further pathophysiological investigations and controlled studies of anticoagulation therapy in Covid-19 disease.,-,-,_,-,_,10.3389/fphar.2020.01124/full,,['heparin'],,-
477,An independent appraisal and re-analysis of hydroxychloroquine treatment trial for COVID-19,"Long-QT is commonly associated with an increased risk of polymorphic ventricular tachycardia from drug therapy. However, not all drugs prolonging QT interval are proarrhythmic. This study aimed to characterize cellular and tissue mechanisms under which QT-interval prolonging drugs and their combination are proarrhythmic, examining arrhythmia susceptibility due to action potential (AP) triangulation and spatial dispersion of action potential duration (APD). Additionally, we aimed to elucidate that Torsades de Pointe (TdP) associated with long-QT are not necessarily caused by early-after-depolarization (EADs) but are related to the presence of AP alternans in both time and space. Isolated Guinea Pig hearts were Langendorff perfused, and optical mapping was done with a voltage dye-sensitive dye. Two commonly used drugs at the beginning of the COVID-19 pandemic, hydroxychloroquine (HCQ) and Azithromycin (AZM), were added to study the effects of QT interval prolongation. Alternans in time and space were characterized by performing restitution pacing protocols. Comparing APs, HCQ prolongs APD during phase-III repolarization, resulting in a higher triangulation ratio than AZM alone or AZM combined with HCQ. Lower triangulation ratios with AZM are associated with phase-II prolongation, lower arrhythmia, and lower incidence of spatially discordant alternans.",-,-,_,-,_,https://smw.ch/article/doi/smw.2020.20262,"['hydroxychloroquine', 'azithromycin']",,,-
479,Mortality of COVID-19 with preadmission metformin use in patients with diabetes: a meta-analysis,"Metformin, GLP-1RA, and SGLT-2i were associated with lower mortality rate in patients with COVID-19 having type 2 diabetes. DPP-4i and insulin were linked to increased mortality. Sulfonylurea, thiazolidinedione, and alpha-glucosidase inhibitors were mortality neutral. These findings can have a large impact on the clinicians' decisions amid the COVID-19 pandemic.",-,-,_,-,_,10.1002/jmv.26498,,['metformin'],,-
480,Renin-angiotensin system blockers and outcomes during hydroxychloroquine treatment in patients hospitalized for COVID-19 pneumonia,"Metformin, GLP-1RA, and SGLT-2i were associated with lower mortality rate in patients with COVID-19 having type 2 diabetes. DPP-4i and insulin were linked to increased mortality. Sulfonylurea, thiazolidinedione, and alpha-glucosidase inhibitors were mortality neutral. These findings can have a large impact on the clinicians' decisions amid the COVID-19 pandemic.",-,-,_,-,_,PUBMED_ID:32874012/,,"['hydroxychloroquine', 'metformin']",,-
490,Baricitinib therapy in COVID-19: A pilot study on safety and clinical impact,"Personalizing the dose and duration of methylprednisolone according to the patient's disease severity assessed with demographic, clinical, and laboratory results may benefit mortality in severe COVID-19 patients receiving ventilatory support in the ICU. Hematologic disorders and malignancies, arterial blood pH and HCO3, neutrophil count, and NLR at admission were associated with mortality in our patient cohort.",-,-,_,-,_,10.1016/j.jinf.2020.04.017,"['baricitinib', 'methylprednisolone']",,,-
491,CD147 as a Target for COVID-19 Treatment: Suggested Effects of Azithromycin and Stem Cell Engagement,"The expressive number of deaths and confirmed cases of SARS-CoV-2 call for an urgent demand of effective and available drugs for COVID-19 treatment. CD147, a receptor on host cells, is a novel route for SARS-CoV-2 invasion. Thus, drugs that interfere in the spike protein/CD147 interaction or CD147 expression may inhibit viral invasion and dissemination among other cells, including in progenitor/stem cells. Studies suggest beneficial effects of azithromycin in reducing viral load of hospitalized patients, possibly interfering with ligand/CD147 receptor interactions; however, its possible effects on SARS-CoV-2 invasion has not yet been evaluated. In addition to the possible effect in invasion, azithromycin decreases the expression of some metalloproteinases (downstream to CD147), induces anti-viral responses in primary human bronchial epithelial infected with rhinovirus, decreasing viral replication and release. Moreover, resident lung progenitor/stem are extensively differentiated into myofibroblasts during pulmonary fibrosis, a complication observed in COVID-19 patients. This process, and the possible direct viral invasion of progenitor/stem cells via CD147 or ACE2, could result in the decline of these cellular stocks and failing lung repair. Clinical tests with allogeneic MSCs from healthy individuals are underway to enhance endogenous lung repair and suppress inflammation.",-,-,_,-,_,PMC:PMC7167302/,['azithromycin'],,,-
499,No higher risk of respiratory symptoms in Italian rheumatological patients under IL-6R-inhibitor therapy in SARS-CoV-2 pandemic,"The outbreak of COVID-19 (caused by SARS-CoV-2) has posed a significant threat to global public health security because of its high pathogenicity and infectivity. To date, the pathogenic mechanism of this novel coronavirus (SARS-CoV-2) is still unclear, and there is no effective treatment. As one of the most effective strategies to prevent viral infection, vaccines have become a research hotspot. Based on the current understanding of SARS-CoV-2, the research and development of its vaccines cover almost all forms of current vaccine research, including inactivated vaccines, recombinant protein vaccines, viral vector vaccines, and nucleic acid vaccines. Moreover, with the spread of the new mutant virus, it is necessary to evaluate the protection rate of previous administered vaccines. This article reviews the candidate targets, vaccine types, research and development status, progress of SARS-CoV-2 vaccines, and the effectiveness of neutralizing antibodies against SARS-CoV-2 mutants (B.1.1.7, B.1.351, P.1, B.1.617.2, and B.1.1.529) induced by these vaccines, to provide a reference for follow-up research and prevention.",-,-,_,-,_,10.1093/rheumatology/keaa388/5878163,['vaccine'],,,-
501,Anakinra in COVID-19: important considerations for clinical trials,"MANAGEMENT OF CRITICAL COVID-19 IN THE INTENSIVE CARE UNIT The management of patients with severe to critical forms of Covid-19 in the intensive care unit includes oxygen therapy to treat the deep hypoxaemia induced by the disease, either delivered non-invasively (high concentration mask, high flow oxygen therapy, NIV) or invasively after oro-tracheal intubation in the most severe forms. The symptomatic management becomes then similar to that of an acute respiratory distress syndrome (ARDS) of other origin with the introduction of protective mechanical ventilation, sedation or even curarisation, and prone positioning in the most hypoxemic patients. Other organ failures, including haemodynamic and renal failures, should also be diagnosed and treated. Thrombo-prophylaxis at a higher than usual dose (intermediate or even curative dose) should also be initiated in the acute phase of the disease. Finally, specific treatment is mainly based on systemic corticosteroid therapy with dexamethasone 6 mg/d, possibly combined with tocilizumab. Other Covid-19-specific treatments have not yet been proven to be effective in critical care patients.",-,-,_,-,_,https://www.thelancet.com/journals/lanrhe/article/PIIS2665-9913(20)30160-0/fulltext,['oxygen'],,"['anakinra', 'dexamethasone', 'tocilizumab']",-
502,"Critical COVID-19 disease, homeostasis, and the “surprise” of effective glucocorticoid therapy","MANAGEMENT OF CRITICAL COVID-19 IN THE INTENSIVE CARE UNIT The management of patients with severe to critical forms of Covid-19 in the intensive care unit includes oxygen therapy to treat the deep hypoxaemia induced by the disease, either delivered non-invasively (high concentration mask, high flow oxygen therapy, NIV) or invasively after oro-tracheal intubation in the most severe forms. The symptomatic management becomes then similar to that of an acute respiratory distress syndrome (ARDS) of other origin with the introduction of protective mechanical ventilation, sedation or even curarisation, and prone positioning in the most hypoxemic patients. Other organ failures, including haemodynamic and renal failures, should also be diagnosed and treated. Thrombo-prophylaxis at a higher than usual dose (intermediate or even curative dose) should also be initiated in the acute phase of the disease. Finally, specific treatment is mainly based on systemic corticosteroid therapy with dexamethasone 6 mg/d, possibly combined with tocilizumab. Other Covid-19-specific treatments have not yet been proven to be effective in critical care patients.",-,-,_,-,_,10.1016/j.clim.2020.108550,['oxygen'],,"['dexamethasone', 'tocilizumab']",-
503,A Randomized Trial of Convalescent Plasma for COVID-19—Potentially Hopeful Signals,"MANAGEMENT OF CRITICAL COVID-19 IN THE INTENSIVE CARE UNIT The management of patients with severe to critical forms of Covid-19 in the intensive care unit includes oxygen therapy to treat the deep hypoxaemia induced by the disease, either delivered non-invasively (high concentration mask, high flow oxygen therapy, NIV) or invasively after oro-tracheal intubation in the most severe forms. The symptomatic management becomes then similar to that of an acute respiratory distress syndrome (ARDS) of other origin with the introduction of protective mechanical ventilation, sedation or even curarisation, and prone positioning in the most hypoxemic patients. Other organ failures, including haemodynamic and renal failures, should also be diagnosed and treated. Thrombo-prophylaxis at a higher than usual dose (intermediate or even curative dose) should also be initiated in the acute phase of the disease. Finally, specific treatment is mainly based on systemic corticosteroid therapy with dexamethasone 6 mg/d, possibly combined with tocilizumab. Other Covid-19-specific treatments have not yet been proven to be effective in critical care patients.",-,-,_,-,_,https://jamanetwork.com/journals/jama/fullarticle/2766940,['oxygen'],,"['dexamethasone', 'tocilizumab']",-
504,Potential Treatments for COVID-19 Related Cytokine Storm - Beyond Corticosteroids,"MANAGEMENT OF CRITICAL COVID-19 IN THE INTENSIVE CARE UNIT The management of patients with severe to critical forms of Covid-19 in the intensive care unit includes oxygen therapy to treat the deep hypoxaemia induced by the disease, either delivered non-invasively (high concentration mask, high flow oxygen therapy, NIV) or invasively after oro-tracheal intubation in the most severe forms. The symptomatic management becomes then similar to that of an acute respiratory distress syndrome (ARDS) of other origin with the introduction of protective mechanical ventilation, sedation or even curarisation, and prone positioning in the most hypoxemic patients. Other organ failures, including haemodynamic and renal failures, should also be diagnosed and treated. Thrombo-prophylaxis at a higher than usual dose (intermediate or even curative dose) should also be initiated in the acute phase of the disease. Finally, specific treatment is mainly based on systemic corticosteroid therapy with dexamethasone 6 mg/d, possibly combined with tocilizumab. Other Covid-19-specific treatments have not yet been proven to be effective in critical care patients.",-,-,_,-,_,10.3389/fimmu.2020.01445/full,,,"['oxygen', 'dexamethasone', 'tocilizumab']",-
511,The effect of BCG vaccine in the era of COVID-19 pandemic,"The emergency of the coronavirus disease 2019 (COVID-19) pandemic led to the off-label use of drugs without data on their toxicity profiles in patients with COVID-19, or on their concomitant use. Patients included in the COVID-19 Patient Registry of a tertiary hospital during the first wave were analyzed to evaluate the adverse drug reactions (ADRs) with the selected treatments. Twenty-one percent of patients (197 out of 933) had at least one ADR, with a total of 240 ADRs. Patients with ADRs were more commonly treated with multiple drugs for COVID-19 infection than patients without ADRs (",-,-,_,-,_,10.1111/sji.12947,,['vaccine'],,-
514,Hydroxychloroquine and COVID-19: critiquing the impact of disease public profile on policy and clinical decision-making,"The controversy surrounding the use of hydroxychloroquine (HCQ), an antimalarial drug, for COVID-19 has raised numerous ethical and policy problems. Since the suggestion that HCQ has potential for COVID-19, there have been varying responses from clinicians and healthcare institutions, ranging from adoption of protocols using HCQ for routine care to the conduct of randomised controlled trials to an effective system-wide prohibition on its use for COVID-19. In this article, we argue that the concept of 'disease public profile' has become a prominent, if not the sole, determinant in decision-making across various healthcare responses to the pandemic. In the case of COVID-19, the disease's public profile is based on clinical and non-clinical factors that include contagiousness, clinical presentation and media coverage. In particular, we briefly examine the dangers of a heightened public profile in magnifying the inequality of diseases and undermining three key ethical concepts, namely (1) evidence-based practice, (2) sustainable allocation and (3) meaningful consent.",-,-,_,-,_,http://jme.bmj.com/content/early/2020/07/08/medethics-2020-106306.abstract,['hydroxychloroquine'],,,-
515,"Bacillus Calmette–Guérin vaccine, antimalarial, age and gender relation to COVID-19 spread and mortality","COVID-19 is affecting different countries all over the world with great variation in infection rate and death ratio. Some reports suggested a relation between the Bacillus Calmette-Guérin (BCG) vaccine and the malaria treatment to the prevention of SARS-CoV-2 infection. Some reports related infant's lower susceptibility to the COVID-19. Some other reports a higher risk in males compared to females in such COVID-19 pandemic. Also, some other reports claimed the possible use of chloroquine and hydroxychloroquine as prophylactic in such a pandemic. The present commentary is to discuss the possible relation between those factors and SARS-CoV-2 infection.",-,-,_,-,_,10.1016/j.vaccine.2020.06.083,,,"['vaccine', 'chloroquine', 'hydroxychloroquine']",-
516,Angiotensin II treatment in COVID-19 patients: more risk than benefit? A single-center experience,"COVID-19 is affecting different countries all over the world with great variation in infection rate and death ratio. Some reports suggested a relation between the Bacillus Calmette-Guérin (BCG) vaccine and the malaria treatment to the prevention of SARS-CoV-2 infection. Some reports related infant's lower susceptibility to the COVID-19. Some other reports a higher risk in males compared to females in such COVID-19 pandemic. Also, some other reports claimed the possible use of chloroquine and hydroxychloroquine as prophylactic in such a pandemic. The present commentary is to discuss the possible relation between those factors and SARS-CoV-2 infection.",-,-,_,-,_,https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-03143-7,,,"['vaccine', 'chloroquine', 'hydroxychloroquine']",-
521,COVID-19 and the rush for self-medication and self-dosing with ivermectin: A word of caution,"COVID-19 is affecting different countries all over the world with great variation in infection rate and death ratio. Some reports suggested a relation between the Bacillus Calmette-Guérin (BCG) vaccine and the malaria treatment to the prevention of SARS-CoV-2 infection. Some reports related infant's lower susceptibility to the COVID-19. Some other reports a higher risk in males compared to females in such COVID-19 pandemic. Also, some other reports claimed the possible use of chloroquine and hydroxychloroquine as prophylactic in such a pandemic. The present commentary is to discuss the possible relation between those factors and SARS-CoV-2 infection.",-,-,_,-,_,10.1016/j.onehlt.2020.100148,,,"['vaccine', 'chloroquine', 'hydroxychloroquine']",-
523,No evidence of clinical benefits of early treatment of COVID-19 patients with hydroxychloroquine and azithromycin,The methodological and reporting quality of guidelines for treating children with COVID-19 was not high. Recommendations were inconsistent across different guidelines. The supporting evidence from children with COVID-19 was very limited.,-,-,_,-,_,10.1016/j.tmaid.2020.101819,,,"['hydroxychloroquine', 'azithromycin']",-
