TECNOLOGIA	Título
Estatina	Association of Statin Use With the In-Hospital Outcomes of 2019-Coronavirus Disease Patients: A Retrospective Study.
Estatina	Association of Statin Use With the In-Hospital Outcomes of 2019-Coronavirus Disease Patients: A Retrospective Study.
Vacina ChAdOx1 nCoV-19	Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK.
Vacina ChAdOx1 nCoV-19	Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK.
Vacina ChAdOx1 nCoV-19	Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK.
Prednisona	The role of methylprednisolone on preventing disease progression for hospitalized patients with severe COVID-19.
Ivermectina	The effect of early treatment with ivermectin on viral load, symptoms and humoral response in patients with mild COVID-19: a pilot, double-blind, placebo-controlled, randomized clinical trial.
Plasma convalescente	COVID-19 Convalescent Plasma Treatment of Moderate and Severe Cases of SARS-CoV-2 Infection: A Multicenter Interventional Study.
Pentoxifilina	Pentoxifylline decreases serum LDH levels and increases lymphocyte count in COVID-19 patients: Results from an external pilot study.
Estatina	Association between statin use and outcomes in patients with coronavirus disease 2019 (COVID-19): a nationwide cohort study.
Radioterapia	Low-dose Whole-lung Irradiation for COVID-19 Pneumonia: Final Results of a Pilot Study.
Corticosteroides	Association of inhaled and systemic corticosteroid use with Coronavirus Disease 2019 (COVID-19) test positivity in patients with chronic pulmonary diseases.
Corticosteroides	Viral clearance after early corticosteroid treatment in patients with moderate or severe covid‑19.
Corticosteroides	Increasing Age, the Existence of Comorbidities, and Corticosteroid Treatment in Combination With Antiviral Therapy Prolongs the Recovery of SARS-COV-2-Infected Patients, Measured as the Conversion From Positive to Negative rtPCR: A 239 Patients’ Retrospective Study.
Corticosteroides	Increasing Age, the Existence of Comorbidities, and Corticosteroid Treatment in Combination With Antiviral Therapy Prolongs the Recovery of SARS-COV-2-Infected Patients, Measured as the Conversion From Positive to Negative rtPCR: A 239 Patients’ Retrospective Study.
Azitromicina	Hydroxychloroquine/Azithromycin treatment, QT interval and ventricular arrhythmias in hospitalized patients with COVID‐19.
Hidroxicloroquina	Hydroxychloroquine/Azithromycin treatment, QT interval and ventricular arrhythmias in hospitalized patients with COVID‐19.
Prolactina-M	Galectin antagonist use in mild cases of SARS-CoV-2 cases; pilot feasibility randomised, open label, controlled trial.
Vacina (SCB-2019)	A first-in-human evaluation of the safety and immunogenicity of SCB-2019, an adjuvanted, recombinant SARS-CoV-2 trimeric S-protein subunit vaccine for COVID-19 in healthy adults; a phase 1, randomised, double-blind, placebo-controlled trial.
Vacina (SCB-2019)	A first-in-human evaluation of the safety and immunogenicity of SCB-2019, an adjuvanted, recombinant SARS-CoV-2 trimeric S-protein subunit vaccine for COVID-19 in healthy adults; a phase 1, randomised, double-blind, placebo-controlled trial.
Vacina (SCB-2019)	A first-in-human evaluation of the safety and immunogenicity of SCB-2019, an adjuvanted, recombinant SARS-CoV-2 trimeric S-protein subunit vaccine for COVID-19 in healthy adults; a phase 1, randomised, double-blind, placebo-controlled trial.
Favipiravir	Adjunctive favipiravir for severe COVID-19: a retrospective observational study of the first 41 patients in Thailand.
Favipiravir	Adjunctive favipiravir for severe COVID-19: a retrospective observational study of the first 41 patients in Thailand.
Azitromicina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Azitromicina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Azitromicina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Favipiravir	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Favipiravir	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Favipiravir	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Hidroxicloroquina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Hidroxicloroquina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Hidroxicloroquina	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Plasma convalescente	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Plasma convalescente	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Plasma convalescente	Detailed disease progression of 213 patients hospitalized with Covid-19 in the Czech Republic: An exploratory analysis.
Interferon kappa	An open-label, randomized trial of the combination of IFN-k plus TFF2 with standard care in the treatment of patients with moderate COVID-19.
TTF2	An open-label, randomized trial of the combination of IFN-k plus TFF2 with standard care in the treatment of patients with moderate COVID-19.
Bromexina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Bromexina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Bromexina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Bromexina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Corticosteroides	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Corticosteroides	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Corticosteroides	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Corticosteroides	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Hidroxicloroquina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Hidroxicloroquina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Hidroxicloroquina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Hidroxicloroquina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Imunoglobulina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Imunoglobulina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Imunoglobulina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Imunoglobulina	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Lopinavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Lopinavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Lopinavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Lopinavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Remdesivir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Remdesivir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Remdesivir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Remdesivir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Ritonavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Ritonavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Ritonavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Ritonavir	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Tocilizumabe	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Tocilizumabe	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Tocilizumabe	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Tocilizumabe	Interventions for treatment of COVID-19: second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project)
Ciclosporina	Cyclosporine A plus low‐dose steroid treatment in COVID‐19 improves clinical outcomes in patients with moderate to severe disease. A pilot study.
Esteroides	Cyclosporine A plus low‐dose steroid treatment in COVID‐19 improves clinical outcomes in patients with moderate to severe disease. A pilot study.
Corticosteroides	A systematic review of corticosteroid treatment for noncritically ill patients with COVID‑19.
Metformina	Metformin and risk of mortality in patients hospitalised with COVID-19: a retrospective cohort analysis.
Ácido ascórbico	Synergistic Effect of Quercetin and Vitamin C Against COVID-19: Is A Possible Guard for Front liners?
Quercetina	Synergistic Effect of Quercetin and Vitamin C Against COVID-19: Is A Possible Guard for Front liners?
Hidroxicloroquina	Hydroxychloroquine lung pharmacokinetics in critically ill patients infected with COVID-19.
Plasma convalescente	A Retrospective Study on the Effects of Convalescent Plasma Therapy in 24 Patients Diagnosed with COVID-19 Pneumonia in February and March 2020 at 2 Centers in Wuhan, China.
Itolizumabe	A two-arm, randomized, controlled, multi-centric, open-label Phase-2 study to evaluate the efficacy and safety of Itolizumab in moderate to severe ARDS patients due to COVID-19.
Plasma convalescente	Convalescent Plasma in COVID-19. Mortality-Safety First Results of the Prospective Multicenter FALP 001-2020 Trial.
Tocilizumabe	INFLUENCE OF TOCILIZUMAB ON THE OUTCOME OF PATIENTS WITH COVID-19. RETROSPECTIVE OBSERVATIONAL STUDY.
Hidroxicloroquina	Low Dose Hydroxychloroquine is Associated with Lower Mortality in COVID-19: A Meta-Analysis of 27 Studies and 44,684 Patients.
Tenofovir	Preventive Efficacy of Tenofovir/Emtricitabine Against Severe Acute Respiratory Syndrome Coronavirus 2 Among Pre-Exposure Prophylaxis Users.
Ivermectina	A five day course of ivermectin for the treatment of COVID-19 may reduce the duration of illness.
Ivermectina	A five day course of ivermectin for the treatment of COVID-19 may reduce the duration of illness.
Remdesivir	Efficacy of Remdesivir in Covid-19 Patients; Multicenter Study in Lahore.
Dieta eucalórica e cetogênica	Clinical Efficacy of Eucaloric Ketogenic Nutrition in the COVID-19 Cytokine Storm: a Retrospective Analysis of Mortality and ICU Admission.
Antagonistas do Receptor da Angiotensina II	Association between renin-angiotensin-aldosterone system inhibitor use and covid-19 hospitalization and death: a 1,4 million patient nation-wide registry analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association between renin-angiotensin-aldosterone system inhibitor use and covid-19 hospitalization and death: a 1,4 million patient nation-wide registry analysis.
Lopinavir	Systematic review on current antiviral therapy in COVID-19 pandemic.
Oseltamivir	Systematic review on current antiviral therapy in COVID-19 pandemic.
Remdesivir	Systematic review on current antiviral therapy in COVID-19 pandemic.
Ribavirina	Systematic review on current antiviral therapy in COVID-19 pandemic.
Ritonavir	Systematic review on current antiviral therapy in COVID-19 pandemic.
Praziquantel	Assessment of schistosomiasis endemicity and preventive treatment on coronavirus disease 2019 outcomes in Africa.
Ivermectina	A COVID-19 Prophylaxis? Lower incidence associated with prophylactic administration of Ivermectin.
Remdesivir	Rapid review of suspected adverse drug events due to remdesivir in the WHO database; findings and implications.
Remdesivir	Rapid review of suspected adverse drug events due to remdesivir in the WHO database; findings and implications.
Itolizumabe	Treatment of COVID-19 patients with the anti-CD6 antibody itolizumab.
Hidroxicloroquina	The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.
Hidroxicloroquina	The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.
Hidroxicloroquina	The efficacy and safety of hydroxychloroquine in COVID19 patients: a multicenter national retrospective cohort.
Vacina de vírus inativado	Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18–59 years: a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial.
Insulina	Insulin Treatment Is Associated with Increased Mortality in Patients with COVID-19 and Type 2 Diabetes.
Hidroxicloroquina	Comparison of clinical and laboratory features and treatment options of 237 symptomatic and asymptomatic children infected with SARS-CoV-2 in the early phase of the COVID-19 pandemic in Turkey.
Hidroxicloroquina	Predictors of QT Interval Prolongation in Critically-ill Patients with SARS-CoV-2 Infection Treated with Hydroxychloroquine
Tocilizumabe	Tocilizumab and COVID-19: A Meta-Analysis of 2120 Patients with Severe Disease 1 and Implications for Clinical Trial Methodologies.
Plasma convalescente	Mortality reduction in 46 patients with severe COVID-19 treated with hyperimmune plasma. A proof-of-concept, single-arm, multicenter trial.
Antagonistas do Receptor da Angiotensina II	Renin-angiotensin system antagonists are associated with lower mortality in hypertensive patients with COVID-19.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin-angiotensin system antagonists are associated with lower mortality in hypertensive patients with COVID-19.
Vacina influenza	A Case–Control Study of the 2019 Influenza Vaccine and Incidence of COVID-19 Among Healthcare Workers.
Vacina influenza	A Case–Control Study of the 2019 Influenza Vaccine and Incidence of COVID-19 Among Healthcare Workers.
Hidroxicloroquina	Safety of hydroxychloroquine for treatment or prevention of SARS‐CoV‐2 infection: A rapid systematic review and meta‐analysis of randomized clinical trials.
Prednisona	Predictors of Mortality and Effect of Drug Therapies in Mechanically Ventilated Patients With Coronavirus Disease 2019: A Multicenter Cohort Study.
Antagonistas do Receptor da Angiotensina II	Continued In-Hospital Angiotensin-Converting Enzyme Inhibitor and Angiotensin II Receptor Blocker Use in Hypertensive COVID-19 Patients Is Associated With Positive Clinical Outcome.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Continued In-Hospital Angiotensin-Converting Enzyme Inhibitor and Angiotensin II Receptor Blocker Use in Hypertensive COVID-19 Patients Is Associated With Positive Clinical Outcome.
Tocilizumabe	Tocilizumab administration is associated with reduction in biomarkers of coronavirus disease 2019 (COVID-19) infection.
Receptor para os produtos finais de glicação avançada (RAGE)	Soluble Receptor for Advanced Glycation End Products and Its Forms in COVID-19 Patients with and without Diabetes Mellitus: A Pilot Study on Their Role as Disease Biomarkers.
Corticosteroides	Corticosteroids treatment in severe patients with COVID-19: a propensity score matching study.
Heparina	The effectiveness of early anticoagulant treatment in Covid-19 patients.
Hidroxicloroquina	Do Zinc Supplements Enhance the Clinical Efficacy of Hydroxychloroquine?: a Randomized, Multicenter Trial
Zinco	Do Zinc Supplements Enhance the Clinical Efficacy of Hydroxychloroquine?: a Randomized, Multicenter Trial
Apixabana	Safety and Efficacy of Apixaban For Therapeutic Anticoagulation in Critically Ill ICU Patients with Severe COVID-19 Respiratory Disease.
Vitamina D (25-hidroxivitamina D)	Serum 25(OH)D Level on Hospital Admission Associated With COVID-19 Stage and Mortality.
Antagonistas do Receptor da Angiotensina II	Effects of Recent Use of Renin-Angiotensin System Inhibitors on Mortality of Patients With Coronavirus Disease 2019.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Effects of Recent Use of Renin-Angiotensin System Inhibitors on Mortality of Patients With Coronavirus Disease 2019.
Antivirais	Antivirals With Adjunctive Corticosteroids Prevent Clinical Progression of Early Coronavirus 2019 Pneumonia: A Retrospective Cohort Study.
Corticosteroides	Antivirals With Adjunctive Corticosteroids Prevent Clinical Progression of Early Coronavirus 2019 Pneumonia: A Retrospective Cohort Study.
Antagonistas do Receptor da Angiotensina II	Association of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Blockers With Severity of COVID-19: A Multicenter, Prospective Study.
Antagonistas do Receptor da Angiotensina II	Association of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Blockers With Severity of COVID-19: A Multicenter, Prospective Study.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Blockers With Severity of COVID-19: A Multicenter, Prospective Study.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Association of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Blockers With Severity of COVID-19: A Multicenter, Prospective Study.
Azitromicina	Prescribing practices of lopinavir/ritonavir, hydroxychloroquine and azithromycin during the COVID-19 epidemic crisis and pharmaceutical interventions in a French teaching hospital.
Hidroxicloroquina	Prescribing practices of lopinavir/ritonavir, hydroxychloroquine and azithromycin during the COVID-19 epidemic crisis and pharmaceutical interventions in a French teaching hospital.
Lopinavir	Prescribing practices of lopinavir/ritonavir, hydroxychloroquine and azithromycin during the COVID-19 epidemic crisis and pharmaceutical interventions in a French teaching hospital.
Ritonavir	Prescribing practices of lopinavir/ritonavir, hydroxychloroquine and azithromycin during the COVID-19 epidemic crisis and pharmaceutical interventions in a French teaching hospital.
Favipiravir	Treatment of SARS-cov-2 pneumonia with favipiravir: Early results from the Ege University cohort, Turkey.
Plasma convalescente	A Randomized Trial of Convalescent Plasma in Covid-19 Severe Pneumonia.
Estradiol	Evidence for treatment with estradiol for women with SARS-CoV-2 infection.
Estradiol	Evidence for treatment with estradiol for women with SARS-CoV-2 infection.
Estradiol	Evidence for treatment with estradiol for women with SARS-CoV-2 infection.
Ivermectina	Ivermectin as an adjunct treatment for hospitalized adult COVID-19 patients: A randomized multi-center clinical trial.
Hidroxicloroquina	A Cluster-Randomized Trial of Hydroxychloroquine for Prevention of Covid-19.
Hidroxicloroquina	A Cluster-Randomized Trial of Hydroxychloroquine for Prevention of Covid-19.
Anticoagulantes	The effect of anticoagulation on clinical outcomes in novel Coronavirus (COVID-19) pneumonia in a U.S. cohort.
Corticosteroides	Estimating the release of inflammatory factors and use of glucocorticoid therapy for COVID-19 patients with comorbidities.
Plasma convalescente	Efficacy of therapeutic plasma exchange in the treatment of penn class 3 and 4 cytokine release syndrome complicating COVID-19.
Danoprevir	First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naïve and Experienced COVID-19 Patients.
Azitromicina	Assessment of COVID-19 Treatment containing both Hydroxychloroquine and Azithromycin: A Natural Clinical Trial.
Azitromicina	Assessment of COVID-19 Treatment containing both Hydroxychloroquine and Azithromycin: A Natural Clinical Trial.
Hidroxicloroquina	Assessment of COVID-19 Treatment containing both Hydroxychloroquine and Azithromycin: A Natural Clinical Trial.
Hidroxicloroquina	Assessment of COVID-19 Treatment containing both Hydroxychloroquine and Azithromycin: A Natural Clinical Trial.
Imunoglobulina	Intravenous Immunoglobulin Plus Methylprednisolone Mitigate Respiratory Morbidity in Coronavirus Disease 2019
Prednisona	Intravenous Immunoglobulin Plus Methylprednisolone Mitigate Respiratory Morbidity in Coronavirus Disease 2019
Ivermectina	Therapeutic potential of ivermectin as add-on treatment in COVID 19: A systematic review and meta-analysis.
Tocilizumabe	A Propensity-Matched Cohort Study of Tocilizumab in Patients With Coronavirus Disease 2019.
Apixabana	Anticoagulation in COVID-19: Effect of Enoxaparin, Heparin, and Apixaban on Mortality
Enoxaparina	Anticoagulation in COVID-19: Effect of Enoxaparin, Heparin, and Apixaban on Mortality
Hidroxicloroquina	linical Characteristics and Outcomes of 905 COVID-19 Patients Admitted to Imam Khomeini Hospital Complex in the Capital City of Tehran, Iran.
Favipiravir	The effects of favipiravir on hematological parameters of covıd-19 patients.
Sarilumabe	The effect of IL-6 inhibitors on mortality among hospitalized COVID-19 patients: a multicenter study.
Tocilizumabe	The effect of IL-6 inhibitors on mortality among hospitalized COVID-19 patients: a multicenter study.
Antagonistas do Receptor da Angiotensina II	Renin–angiotensin system inhibitors and mortality in patients with COVID‐19.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin–angiotensin system inhibitors and mortality in patients with COVID‐19.
Prednisona	High-Dose Methylprednisolone in Nonintubated Patients with Severe COVID-19 Pneumonia.
Azitromicina	Randomized double-blinded placebo-controlled trial of hydroxychloroquine with or without azithromycin for virologic cure of non-severe Covid-19.
Azitromicina	Randomized double-blinded placebo-controlled trial of hydroxychloroquine with or without azithromycin for virologic cure of non-severe Covid-19.
Hidroxicloroquina	Randomized double-blinded placebo-controlled trial of hydroxychloroquine with or without azithromycin for virologic cure of non-severe Covid-19.
Hidroxicloroquina	Randomized double-blinded placebo-controlled trial of hydroxychloroquine with or without azithromycin for virologic cure of non-severe Covid-19.
Darunavir	Safety of hydroxychloroquine and darunavir or lopinavir in COVID-19 infection.
Hidroxicloroquina	Safety of hydroxychloroquine and darunavir or lopinavir in COVID-19 infection.
Lopinavir	Safety of hydroxychloroquine and darunavir or lopinavir in COVID-19 infection.
Antagonistas do Receptor da Angiotensina II	Adverse impact of renin–angiotensin system blockade on the clinical course in hospitalized patients with severe COVID‐19: a retrospective cohort study.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Adverse impact of renin–angiotensin system blockade on the clinical course in hospitalized patients with severe COVID‐19: a retrospective cohort study.
Plasma convalescente	Prevention of severe COVID-19 in the elderly by early high-titer plasma.
Plasma convalescente	Prevention of severe COVID-19 in the elderly by early high-titer plasma.
Dexametasona	Effectiveness of remdesivir with and without dexamethasone in hospitalized patients with COVID-19.
Remdesivir	Effectiveness of remdesivir with and without dexamethasone in hospitalized patients with COVID-19.
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	"Comparison of Infection Risks and Clinical Outcomes in Patients with and without SARS-CoV-2 Lung Infection under Renin-Angiotensin-Aldosterone-System Blockade - 
Systematic Review and Meta-Analysis."
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	"Comparison of Infection Risks and Clinical Outcomes in Patients with and without SARS-CoV-2 Lung Infection under Renin-Angiotensin-Aldosterone-System Blockade - 
Systematic Review and Meta-Analysis."
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	"Comparison of Infection Risks and Clinical Outcomes in Patients with and without SARS-CoV-2 Lung Infection under Renin-Angiotensin-Aldosterone-System Blockade - 
Systematic Review and Meta-Analysis."
Anti-inflamatórios não esteroidais	Non-steroidal anti-inflammatory drugs and susceptibility to COVID-19.
Vitamina D (25-hidroxivitamina D)	Vitamin D 25OH deficiency in COVID-19 patients admitted to a tertiary referral hospital.
Anakinra	Anakinra combined with methylprednisolone in patients with severe COVID-19 pneumonia and hyperinflammation: an observational cohort study.
Prednisona	Anakinra combined with methylprednisolone in patients with severe COVID-19 pneumonia and hyperinflammation: an observational cohort study.
Corticosteroides	Risk factors of mortality and contribution of treatment in patients infected with COVID-19: a retrospective propensity score matched study.
Glicirrizinato de amônio	Risk factors of mortality and contribution of treatment in patients infected with COVID-19: a retrospective propensity score matched study.
Imunoglobulina	Risk factors of mortality and contribution of treatment in patients infected with COVID-19: a retrospective propensity score matched study.
Timosina	Risk factors of mortality and contribution of treatment in patients infected with COVID-19: a retrospective propensity score matched study.
Vacina BCG	BCG vaccination history associates with decreased SARS-CoV-2 seroprevalence across a diverse cohort of healthcare workers.
Heparina	Role of low-molecular weight heparin in hospitalized patients with SARS-CoV-2 pneumonia: a prospective observational study.
Ivermectina	Lack of efficacy of standard doses of ivermectin in severe COVID-19 patients
Timosina	The effect of thymosin α1 on mortality of critical COVID-19 patients: A multicenter retrospective study.
Itolizumabe	An anti-CD6 monoclonal antibody (itolizumab) reduces circulating IL-6 in severe COVID-19 elderly patients.
Antagonistas do Receptor da Angiotensina II	Comparative analysis between the use of renin–angiotensin system antagonists and clinical outcomes of hospitalized patients with COVID-19 respiratory infection.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Comparative analysis between the use of renin–angiotensin system antagonists and clinical outcomes of hospitalized patients with COVID-19 respiratory infection.
Vacina ChAdOx1 nCoV-19	Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a prime-boost regimen in young and old adults(COV002): a single-blind, randomised, controlled, phase 2/3 trial.
Remdesivir	Remdesivir Use in Patients Requiring Mechanical Ventilation due to COVID-19.
Terapia celular	Safety and feasibility of umbilical cord mesenchymal stem cells in patients with COVID-19 pneumonia: A pilot study.
Dutasterida	5-Alpha-Reductase Inhibitors Reduce Remission Time of COVID-19: Results From a Randomized Double Blind Placebo Controlled Interventional Trial in 130 SARS-CoV-2 Positive Men.
CoronaVac	Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18–59 years
Favipiravir	Efficacy and Safety of Favipiravir, an Oral RNA-Dependent RNA Polymerase Inhibitor, in Mild-to-Moderate COVID-19: A Randomized, Comparative, Open-Label, Multicenter, Phase 3 Clinical Trial.
Favipiravir	Efficacy and Safety of Favipiravir, an Oral RNA-Dependent RNA Polymerase Inhibitor, in Mild-to-Moderate COVID-19: A Randomized, Comparative, Open-Label, Multicenter, Phase 3 Clinical Trial.
Favipiravir	Efficacy and Safety of Favipiravir, an Oral RNA-Dependent RNA Polymerase Inhibitor, in Mild-to-Moderate COVID-19: A Randomized, Comparative, Open-Label, Multicenter, Phase 3 Clinical Trial.
Cloroquina	Chloroquine, hydroxychloroquine, and COVID-19: systematic review and narrative synthesis of efficacy and safety.
Hidroxicloroquina	Chloroquine, hydroxychloroquine, and COVID-19: systematic review and narrative synthesis of efficacy and safety.
Vitamina D (25-hidroxivitamina D)	Effect of Vitamin D3 Supplementation vs Placebo on Hospital Length of Stay in 2 Patients with Severe COVID-19: A Multicenter, Double-blind, Randomized 3 Controlled Trial.
Antagonistas do Receptor da Angiotensina II	Renin–angiotensin system inhibition and risk of infection and mortality in COVID-19: a systematic review and meta-analysis.
Antagonistas do Receptor da Angiotensina II	Renin–angiotensin system inhibition and risk of infection and mortality in COVID-19: a systematic review and meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin–angiotensin system inhibition and risk of infection and mortality in COVID-19: a systematic review and meta-analysis.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Renin–angiotensin system inhibition and risk of infection and mortality in COVID-19: a systematic review and meta-analysis.
Tocilizumabe	IL-6 Inhibition in Critically Ill COVID-19 Patients Is Associated With Increased Secondary Infections.
Lopinavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Lopinavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Lopinavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Ritonavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Ritonavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Ritonavir	Efficacy and safety of lopinavir/ritonavir in the treatment of COVID-19: A systematic review.
Tocilizumabe	Tocilizumab in hospitalized patients with COVID-19: Clinical outcomes, inflammatory marker kinetics, and safety.
Dexametasona	Comparison of efficacy of dexamethasone and methylprednisolone in moderate to severe covid 19 disease.
Prednisona	Comparison of efficacy of dexamethasone and methylprednisolone in moderate to severe covid 19 disease.
Heparina	Low molecular weight heparin in COVID-19 patients prevents delirium and shortens hospitalization.
Antagonistas do Receptor da Angiotensina II	Clinical characteristics and fatal outcomes of hypertension in patients with severe COVID-19.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Clinical characteristics and fatal outcomes of hypertension in patients with severe COVID-19.
Antagonistas do Receptor da Angiotensina II	Comorbidities, Cardiovascular Therapies, and COVID-19 Mortality: A Nationwide, Italian Observational Study (ItaliCO).
Antagonistas do Receptor da Angiotensina II	Comorbidities, Cardiovascular Therapies, and COVID-19 Mortality: A Nationwide, Italian Observational Study (ItaliCO).
